channel,message_id,subscribers,channel_type,published_at,checkpoint_min,measured_at,actual_age_min,views,reactions,forwards,source
tweetychannel,409203,775970,social_entertainment,2026-08-01T12:38:12+00:00,1440,2026-08-02T12:51:44.967528+00:00,1452.61,18281,262,121,telegram
tweetfrsi,21553,664669,entertainment,2026-08-01T12:40:10+00:00,10,2026-08-01T12:50:21.957152+00:00,10.04,1674,50,40,telegram
tweetfrsi,21553,664669,entertainment,2026-08-01T12:40:10+00:00,20,2026-08-01T13:00:49.497388+00:00,20.5,2564,92,61,telegram
tweetfrsi,21553,664669,entertainment,2026-08-01T12:40:10+00:00,30,2026-08-01T13:11:15.424560+00:00,30.93,3568,118,71,telegram
tweetfrsi,21553,664669,entertainment,2026-08-01T12:40:10+00:00,1440,2026-08-02T12:51:53.246400+00:00,1450.64,15821,374,161,telegram
tweetychannel,409204,775951,social_entertainment,2026-08-01T12:40:22+00:00,10,2026-08-01T12:51:43.329819+00:00,11.15,4067,130,1,telegram
tweetychannel,409204,775951,social_entertainment,2026-08-01T12:40:22+00:00,20,2026-08-01T13:00:52.412114+00:00,20.3,5084,159,1,telegram
tweetychannel,409204,775951,social_entertainment,2026-08-01T12:40:22+00:00,30,2026-08-01T13:11:18.358735+00:00,30.73,6093,185,1,telegram
tweetychannel,409204,775951,social_entertainment,2026-08-01T12:40:22+00:00,1440,2026-08-02T12:51:57.263241+00:00,1450.44,18147,457,70,telegram
varzesh3,298652,1296725,sport,2026-08-01T12:41:12+00:00,10,2026-08-01T12:51:37.110192+00:00,10.31,20670,0,34,telegram
varzesh3,298652,1296725,sport,2026-08-01T12:41:12+00:00,20,2026-08-01T13:02:04.709478+00:00,20.77,34116,0,70,telegram
varzesh3,298652,1296725,sport,2026-08-01T12:41:12+00:00,30,2026-08-01T13:12:30.382251+00:00,31.2,45509,0,104,telegram
varzesh3,298652,1296725,sport,2026-08-01T12:41:12+00:00,1440,2026-08-02T12:51:47.680505+00:00,1449.61,193823,0,244,telegram
eghtesadonline,354013,75239,economy,2026-08-01T12:41:20+00:00,10,2026-08-01T12:51:38.641888+00:00,10.18,1179,6,2,telegram
eghtesadonline,354013,75239,economy,2026-08-01T12:41:20+00:00,20,2026-08-01T13:02:06.194007+00:00,20.63,1856,8,4,telegram
eghtesadonline,354013,75239,economy,2026-08-01T12:41:20+00:00,30,2026-08-01T13:12:31.888082+00:00,31.07,2316,10,4,telegram
eghtesadonline,354013,75239,economy,2026-08-01T12:41:20+00:00,1440,2026-08-02T12:51:51.772742+00:00,1449.48,7376,28,10,telegram
eghtesadonline,354014,75239,economy,2026-08-01T12:41:36+00:00,10,2026-08-01T12:52:57.659594+00:00,11.22,1307,7,14,telegram
eghtesadonline,354014,75239,economy,2026-08-01T12:41:36+00:00,20,2026-08-01T13:02:06.193908+00:00,20.37,1918,7,14,telegram
eghtesadonline,354014,75239,economy,2026-08-01T12:41:36+00:00,30,2026-08-01T13:12:31.888056+00:00,30.8,2409,9,16,telegram
eghtesadonline,354014,75239,economy,2026-08-01T12:41:36+00:00,1440,2026-08-02T12:51:50.409312+00:00,1449.21,7129,15,19,telegram
tweetychannel,409205,775951,social_entertainment,2026-08-01T12:45:18+00:00,5,2026-08-01T12:51:43.329795+00:00,6.21,2042,47,36,telegram
tweetychannel,409205,775951,social_entertainment,2026-08-01T12:45:18+00:00,10,2026-08-01T12:55:39.517079+00:00,10.14,4061,66,36,telegram
tweetychannel,409205,775951,social_entertainment,2026-08-01T12:45:18+00:00,20,2026-08-01T13:06:05.624948+00:00,20.59,6078,87,70,telegram
tweetychannel,409205,775951,social_entertainment,2026-08-01T12:45:18+00:00,30,2026-08-01T13:16:30.875151+00:00,31.01,7104,105,104,telegram
tweetychannel,409205,775951,social_entertainment,2026-08-01T12:45:18+00:00,1440,2026-08-02T12:51:55.921140+00:00,1445.51,19563,223,221,telegram
tweetychannel,409206,775951,social_entertainment,2026-08-01T12:46:04+00:00,5,2026-08-01T12:51:43.329694+00:00,5.45,2036,62,2,telegram
tweetychannel,409206,775951,social_entertainment,2026-08-01T12:46:04+00:00,10,2026-08-01T12:56:57.556724+00:00,10.69,4064,96,36,telegram
tweetychannel,409206,775951,social_entertainment,2026-08-01T12:46:04+00:00,20,2026-08-01T13:07:24.071538+00:00,21.12,6079,119,36,telegram
tweetychannel,409206,775951,social_entertainment,2026-08-01T12:46:04+00:00,30,2026-08-01T13:16:30.875126+00:00,30.24,8111,140,36,telegram
tweetychannel,409206,775951,social_entertainment,2026-08-01T12:46:04+00:00,1440,2026-08-02T12:51:54.582788+00:00,1444.74,19179,284,119,telegram
eghtesadonline,354015,75239,economy,2026-08-01T12:50:00+00:00,5,2026-08-01T12:55:35.049888+00:00,5.44,745,1,2,telegram
eghtesadonline,354015,75239,economy,2026-08-01T12:50:00+00:00,10,2026-08-01T13:00:48.003217+00:00,10.67,1142,3,3,telegram
eghtesadonline,354015,75239,economy,2026-08-01T12:50:00+00:00,20,2026-08-01T13:11:13.967652+00:00,21.1,1757,6,4,telegram
